level,a1_count,a2_count,a3_count,a4_count,a1_time,a2_time,a3_time,a4_time,blinkes,saccades,total_time,performance
Card1,1,3,2,1,0,"3,222,071","2,875,614",0,5,"3,349,794","3,193,981",1
Card2,3,9,6,4,"2,345,734","1,965,035","8,714,085","7,056,398",5,"3,737,382","1,883,314",1
Card3,2,2,2,3,"2,678,833","6,927,071",0,"1,419,995",20,"8,717,354","1,427,551",1
Card4,1,2,4,2,0,"4,022,064","7,790,642","1,411,625",10,"6,655,888","5,752,838",1
Card5,1,2,3,1,0,"6,031,876","177,829",0,5,"5,276,418","1,633,092",0
Card6,8,5,6,3,"1,441,116","1,879,608","1,286,545","2,478,485",50,"1,729,571","1,785,009",0
Card7,1,1,2,2,0,0,"1,432,037","4,244,537",25,"4,537,585","1,355,046",0
Card8,1,1,4,1,0,0,"7,873,077",0,20,"1,112,076","949,379",0
Card9,1,4,6,4,0,"9,682,999","2,717,567","5,283,356",12,"5,612,743","3,108,675",0
Card10,1,10,13,3,0,"2,290,283","3,108,627","3,903,198",30,"1,870,983","2,343,616",0
Card11,3,3,6,3,"1,321,075","1,193,649","1,469,528","9,927,673",45,"3,663,586","1,512,366",1
Card12,1,1,2,2,0,0,"2,681,122","7,709,503",15,"8,242,198","8,280,609",0
Card13,1,2,4,3,0,"2,233,582","1,519,638","292,572",20,"3,204,463","1,100,835",1
Card14,3,5,6,3,"1,899,261","1,698,196","1,069,199","1,220,352",25,"2,575,636","13,842",1
Card15,3,4,5,3,"158,609","4,483,032","1,065,598","7,594,452",5,"1,936,861","1,356,929",1
