level,a1_count,a2_count,a3_count,a4_count,a1_time,a2_time,a3_time,a4_time,blinkes,saccades,total_time,performance
Card1,6,5,5,2,"1,800,633","1,436,949","1,284,593","2,237,959",5,"405,575","1,689,237",1
Card2,2,3,4,2,0,"1,217,665","726,368","2,122,307",5,"7,992,357","989,674",0
Card3,1,2,4,3,0,"1,115,417","2,348,194","1,419,995",5,0,"7,015,276",1
Card4,1,2,5,2,0,"3,016,167","2,787,476","1,411,625",10,"1,884,526","7,115,379",1
Card5,1,3,5,2,0,"6,590,919","5,717,545",0,35,"7,653,805","1,367,246",1
Card6,2,2,2,1,0,"8,277,893","2,125,549",0,10,"6,647,241","9,092,464",1
Card7,2,1,1,1,"2,713,165","3,801,765",0,0,5,"130,002","1,208,632",1
Card8,1,3,1,1,0,"5,697,327",0,"5,007,591",10,"5,492,181","8,154,274",1
Card9,1,3,2,2,0,"3,909,378","1,114,655","4,611,511",13,"4,086,611","1,076,968",1
Card10,1,1,1,,0,0,0,,40,"1,154,921","7,036,804",1
Card11,1,4,1,2,0,"1,563,454",0,"3,016,968",22,"1,854,869","6,611,496",1
Card12,3,4,2,1,"2,111,984","1,004,532","1,674,957",0,5,"6,593,005","7,485,168",1
Card13,2,3,4,3,"5,580,139","9,490,585","1,016,235","2,571,335",10,"3,015,636","1,071,146",1
Card14,2,3,1,1,"6,031,647","1,130,676","2,234,726",0,5,"3,481,962","1,066,753",1
Card15,4,3,2,1,"1,005,829","1,228,439","1,362,762",0,10,"1,607,026","1,503,264",1
