level,a1_count,a2_count,a3_count,a4_count,a1_time,a2_time,a3_time,a4_time,blinkes,saccades,total_time,performance
Card1,7,48,32,1,"9,725,037","1,704,613","9,826,078",0,12,"7,639,148","1,114,226",1
Card2,20,13,7,4,"1,325,478","4,087,654","2,300,903","8,714,752",12,"615,412","5,022,169",1
Card3,,2,7,2,0,"1,219,177","4,286,011","1,309,109",10,"3,010,168","1,557,137",1
Card4,8,11,32,,"4,592,094","187,178","3,263,823",,15,"2,105,867","5,248,907",1
Card5,1,4,9,10,0,"1,306,213","2,481,552","6,299,835",14,"2,205,126","4,937,946",1
Card6,1,15,6,3,0,"8,059,296","4,573,669","2,344,666",95,"1,594,725","4,776,407",0
Card7,32,9,3,2,"1,959,088","7,940,674","3,710,327","326,355",15,"2,998,152","4,749,606",0
Card8,1,16,5,,0,"625,415","2,884,094",,12,"5,954,913","4,045,874",0
Card9,8,8,5,1,"5,949,982","1,707,733","2,177,124",0,17,"1,987,504","4,723,917",1
Card10,,2,1,,,"1,440,735",0,,20,"5,749,964","9,863,403",1
Card11,29,20,9,2,"1,686,859","3,705,078","2,102,875","3,016,968",15,"1,057,718","8,274,969",1
Card12,3,2,4,3,"1,705,322","4,020,996","5,910,645","6,141,968",25,"5,795,037","9,740,234",0
Card13,,1,2,5,,,"559,082","1,763,916",5,"1,481,329","6,076,843",0
Card14,2,4,5,7,"1,540,375","1,602,661","5,875,854","4,048,889",55,"1,030,106","2,342,157",0
Card15,5,5,1,1,"133,075","1,082,336",0,0,50,"1,992,579","1,642,267",1
