level,a1_count,a2_count,a3_count,a4_count,a1_time,a2_time,a3_time,a4_time,blinkes,saccades,total_time,performance
Card1,1,6,8,2,0,"3,800,145","197,525","1,123,714",5,"718,836","4,155,202",1
Card2,5,11,7,3,"5,721,664","1,242,445","7,474,871","8,829,727",5,"2,326,385","1,771,605",1
Card3,2,2,4,2,"5,640,583","2,231,522","2,903,423","3,950,577",20,"1,058,808","1,075,805",1
Card4,1,2,4,2,0,"7,717,133","8,373,222","1,411,625",10,"4,710,185","754,372",1
Card5,1,1,2,2,0,0,"1,543,541",0,5,"2,118,261","8,017,254",1
Card6,3,1,6,3,"3,906,822",0,"1,286,545",0,50,"8,017,629","8,476,826",1
Card7,1,2,1,2,"2,456,512",0,0,"4,244,537",25,"6,486,225","1,061,241",1
Card8,1,2,2,1,0,"2,568,893","4,020,996",0,20,"4,684,449","8,433,609",1
Card9,1,1,1,1,0,0,0,"2,569,427",12,"5,582,047","7,092,072",1
Card10,2,2,13,3,"4,800,339",0,"3,108,627","3,903,198",30,"1,870,983","5,909,943",1
Card11,2,2,6,3,0,"5,352,249","1,469,528","9,927,673",45,"5,484,232","4,624,466",1
Card12,2,1,2,2,"2,569,885",0,"2,681,122","7,709,503",15,"1,118,837","4,434,502",1
Card13,2,1,3,2,"1,118,286",0,"4,467,773","2,121,964",20,"7,349,917","7,718,803",1
Card14,1,1,3,3,"1,899,261",0,"2,125,244","1,220,352",25,"46,358","7,674,141",1
Card15,4,2,5,3,"1,131,111","1,785,583","1,065,598","7,594,452",5,"2,706,502","13,203",1
